creator,url,distributors,videos,best_reach,best_outlier,creator_subs,best_title,last_seen
MiniHouseDIY,https://www.youtube.com/@MiniHouseDIY,1,1,1092,0.0,590000,Man Builds 2-Floor Building With Mini Bricks | Small-Scale DIY @MiniHouseDIY,2025-11-13
SurvivalBuilder,https://www.youtube.com/@SurvivalBuilder,1,3,1072,3.4,11900000,Full Time-lapse: Building a Massive 18.5m Jungle Tree House & Private Pools! @SurvivalBuilder​,2026-08-06
UltimateTechHub,https://www.youtube.com/@UltimateTechHub,1,1,1041,0.1,90300,A Man Builds a Backyard Pool | From Start to Finish | Timelapse by @UltimateTechHub,2026-01-15
adventuresakahayang,https://www.youtube.com/@adventuresakahayang,1,1,1034,0.1,1800,A Man Builds an Incredible Shelter in the Jungle | From Start to Finish by @adventuresakahayang,2025-12-15
Bendheim,https://www.youtube.com/@Bendheim,1,1,959,1.0,,Inside a Shipping Container: Man Builds the Ultimate Workshop | @Bendheim,2025-12-11
Martijn,https://www.youtube.com/@Martijn,1,1,937,9.6,,365 Days Turning Alpine Ruins Into Beautiful Homes | @Martijn Doolaard,2026-06-27
BreakFreeHomestead,https://www.youtube.com/@BreakFreeHomestead,1,1,898,0.2,59500,How One Man Turned an Old Garage Into a Cozy Living Space | Start to Finish by @BreakFreeHomestead,2026-04-16
BMSculptures,https://www.youtube.com/@BMSculptures,1,1,842,0.4,981000,I Built a Life-Size T-Rex Skull from Wood (50+ Days of Work) | By @BMSculptures,2026-03-05
2apples,https://www.youtube.com/@2apples,1,1,779,0.3,101000,​I Built a Luxury Container House for My Grandparents! by @2apples ​,2026-05-22
MadeinPolandChannel,https://www.youtube.com/@MadeinPolandChannel,1,1,735,0.2,1330000,Built A Custom Utility Vehicle With A Hydraulic Bucket | Start to Finish by @MadeinPolandChannel,2026-06-05
WildxJournal,https://www.youtube.com/@WildxJournal,1,1,718,0.6,63900,The Journey of Building a Beautiful Bamboo House in the Forest: An Inspiring Story | by@WildxJournal,2025-01-01
koscheyproject,https://www.youtube.com/@koscheyproject,1,1,714,0.1,9700,Man Turns Empty Wilderness Into a Dream Cabin in Just 6 Days | Start to Finish by @koscheyproject,2026-04-02
monobatiz,https://www.youtube.com/@monobatiz,1,1,684,0.1,5610,How One Man Turned Wooden Pallets Into a Fully Insulated House| Start to Finish by @monobatiz,2026-03-31
Bushcraft.en.Solitario,https://www.youtube.com/@Bushcraft.en.Solitario,1,1,651,2.7,,He Built a Secret Underground Bunker No One Can Find @Bushcraft.en.Solitario,2026-07-13
AlmightyGod2512,https://www.youtube.com/@AlmightyGod2512,1,1,629,3.1,8560,30 Days Solo Bushcraft: Building a Bamboo Shelter Under a Cliff @AlmightyGod2512,2025-07-07
VermijlCarDetail,https://www.youtube.com/@VermijlCarDetail,1,1,600,10.7,511000,Legendary Wash for a 1985 Mercedes-Benz! @VermijlCarDetail,2025-07-05
TheLastSurvivor-7,https://www.youtube.com/@TheLastSurvivor-7,1,1,579,1.7,12300,Man builds a Dugout With Fireplace inside on a Cliff | Survival Shelter by @TheLastSurvivor-7​,2025-08-29
bushcraftandnature,https://www.youtube.com/@bushcraftandnature,1,1,576,0.1,23400,Handcrafting a Bamboo River Sanctuary for My Rabbit | from beginning to end by @bushcraftandnature,2026-07-22
FLManGarage,https://www.youtube.com/@FLManGarage,1,1,517,0.1,27400,He Transforms Scrapyard V8 Chevrolet C10 Back to New | Restoration By @FLManGarage,2026-06-04
thecoyotelab,https://www.youtube.com/@thecoyotelab,1,1,509,0.1,36800,"Man Builds a DREAM HOME from Shipping Containers for Just $12,000 | by @thecoyotelab",2026-05-09
mayilaicreatives,https://www.youtube.com/@mayilaicreatives,1,1,478,0.2,21000,DIY Aircraft Model Made from PVC Plastic | By @mayilaicreatives,2026-02-03
amazingskillas,https://www.youtube.com/@amazingskillas,1,1,426,0.3,118000,Crafting a Stunning Wooden Hotpot with Brass Detailing by @amazingskillas ,2025-08-11
WorkshopFromScratch,https://www.youtube.com/@WorkshopFromScratch,1,2,391,0.7,881000,Homemade 4-wheel off-road motorbike / Invent and execute from start to finish @WorkshopFromScratch,2024-09-26
MakeitExtreme,https://www.youtube.com/@MakeitExtreme,1,1,378,0.7,1970000,How he made a one-wheeled off-road vehicle/ Invent and execute from start to finish  @MakeitExtreme,2024-09-22
boxworks1001,https://www.youtube.com/@boxworks1001,1,1,375,0.3,4570,"Man Spends $2,000 Building RC Scania with Real Working Features by @boxworks1001",2025-12-07
Mustaqim,https://www.youtube.com/@Mustaqim,1,1,365,3.7,2,A Man Turns a Giant Water Tank Into an Unsinkable@Mustaqim Muhammad Hatta,2026-05-27
randomskills5773,https://www.youtube.com/@randomskills5773,1,1,361,0.2,15200,Skilled Workers Build Powerful Lathe Machine by @randomskills5773,2026-05-13
CraftCreative-444,https://www.youtube.com/@CraftCreative-444,1,1,344,0.6,,Invention of wooden cars / Invent and execute from start to finish @CraftCreative-444,2024-09-20
ARIA,https://www.youtube.com/@ARIA,1,1,324,1.0,,The Man Built Incredible DIY Shelter Under the Giant Stone: | Start To Finish By @ARIA BUSHCRAFT,2025-04-27
MARCANDSANDY,https://www.youtube.com/@MARCANDSANDY,1,1,319,0.3,,Couple transforms abandoned house into a stunning palace in 9 months! | @MARCANDSANDY,2026-04-21
WildSoloSurvival,https://www.youtube.com/@WildSoloSurvival,1,1,313,1.0,93600,"""The Ultimate Treehouse Masterpiece: 166 Days of Solo Crafting (TIMELAPSE)"" @WildSoloSurvival",2026-03-20
TraplinesandInlines,https://www.youtube.com/@TraplinesandInlines,1,1,231,0.7,172000,Man Builds a Traditional Japanese Log Cabin | Start to Finish@TraplinesandInlines,2026-07-18
InfinityGarage-ig8py,https://www.youtube.com/@InfinityGarage-ig8py,1,1,227,0.1,47900,BUILDING a High-Speed Go-Kart From a Kawasaki GPZ500 Engine @InfinityGarage-ig8py,2026-06-08
CHUANQIENGINE,https://www.youtube.com/@CHUANQIENGINE,1,1,224,2.2,106000,man builds an MCU version of the Chuanqi V12 engine | from start to finish by@CHUANQIENGINE,2026-08-06
European,https://www.youtube.com/@European,1,1,224,2.3,16,We Bought a 100 Year Old Abandoned House… What Hap@European Homesteading,2026-06-23
NATRA2021,https://www.youtube.com/@NATRA2021,1,1,214,0.1,170000,Amazing Restoration of a Sewing Machine |From Rust to Glory |Journey of Transformation by @NATRA2021,2025-08-08
Gablok-maison-kit,https://www.youtube.com/@Gablok-maison-kit,1,1,187,0.2,10300,Affordable House Construction in Record Time | Full Building Process @Gablok-maison-kit,2026-06-11
ChayDenne,https://www.youtube.com/@ChayDenne,1,1,174,2.7,2410000,Man Transforms School Bus into 2-Story Dream Home on Wheels | @ChayDenne,2025-07-04
tatsujinstyle,https://www.youtube.com/@tatsujinstyle,1,1,160,1.6,1090,Man makes a very beautiful dragon ornament from glass | from start to finish by @tatsujinstyle,2026-07-22
DağKöyü,https://www.youtube.com/@DağKöyü,1,1,153,0.2,49500,"Man Builds a Cabin Alone With Hand Tools | Start to Finish, No Talking by @DağKöyü",2026-07-27
Lesnoy_Duyen,https://www.youtube.com/@Lesnoy_Duyen,1,2,141,8.8,72700,"How a ""Forest Girl"" Builds a Bamboo Treehouse on a Giant Tree—All by Herself | by  @Lesnoy_Duyen",2025-10-14
HOMEMADE,https://www.youtube.com/@HOMEMADE,1,1,140,1.4,139,From Raw Steel to Off-Road Beast | Cheetah Buggy Build @HOMEMADE MADNESS,2026-06-14
restorationstools6447,https://www.youtube.com/@restorationstools6447,1,1,135,2.4,268000,Reviving a Forgotten Suzuki Truck After 20 Years! | @restorationstools6447,2025-07-15
phungthienthanh8868,https://www.youtube.com/@phungthienthanh8868,1,1,129,2.3,,Girl Restores an Abandoned Car from Scratch! 🔨 | @phungthienthanh8868,2025-07-16
TieuVyBuilding,https://www.youtube.com/@TieuVyBuilding,1,1,128,0.4,13500,FULL TIMELAPSE: Solo Woman Builds an Off-Grid Mountain Cabin From Scratch @TieuVyBuilding,2026-04-11
CyprienAdventures,https://www.youtube.com/@CyprienAdventures,1,1,119,0.1,2930000,100 Days Building a Tiny House with a Beautiful Koi Pond | By @CyprienAdventures,2026-03-14
mmbridgeco.ltd.3002,https://www.youtube.com/@mmbridgeco.ltd.3002,1,1,106,1.1,3080,The Crazy Process of Building Japan's Giant Bridge | From Start to Finish by @mmbridgeco.ltd.3002,2026-07-27
NLOG_Leather,https://www.youtube.com/@NLOG_Leather,1,1,96,0.9,2140,Man Makes a Handmade Leather Shoulder Bag | From Start to Finish by @NLOG_Leather,2026-07-26
ARKSurvivaleveloved-cc2tw,https://www.youtube.com/@ARKSurvivaleveloved-cc2tw,1,1,95,1.7,24600,Back to Clean After Years of Neglect! | @ARKSurvivaleveloved-cc2tw,2025-07-20
Lesnon,https://www.youtube.com/@Lesnon,1,1,90,0.9,2,Man Built a House in the Wilderness Using ONLY Free Pallets — 129 Days DIY| By @Lesnon,2026-04-01
skbushcraft,https://www.youtube.com/@skbushcraft,1,1,90,0.1,94600,From Tree to Home | Creative Bushcraft Skills in Action | Wooden Shelter design by @skbushcraft,2025-06-26
DennisKoburge,https://www.youtube.com/@DennisKoburge,1,1,83,0.0,,Couple Builds Their Dream Home Inside a Truck 🚛❤️ ‪(by @DennisKoburge‬r),2025-09-14
kandowild,https://www.youtube.com/@kandowild,1,1,79,2.5,11000,He Turns a Huge Water Tank Into a Stunning Home! | From Start to Finish by @kandowild,2026-05-23
WOODRESINStudio1,https://www.youtube.com/@WOODRESINStudio1,1,1,77,0.8,5960,Man is cutting wood to make a beach-themed table at sunset using resin art by ⁨@WOODRESINStudio1,2026-08-05
SmoothGefixt,https://www.youtube.com/@SmoothGefixt,1,1,75,2.1,266000,Man Builds a Traditional Roundhouse in the Wild | 60 Days of Survival @SmoothGefixt,2026-08-03
PerkinsBuilderBrothers,https://www.youtube.com/@PerkinsBuilderBrothers,1,1,72,1.4,1170000,Extraordinary! This man built a house on a mountain By @PerkinsBuilderBrothers,2024-11-22
FarmGirlDaily,https://www.youtube.com/@FarmGirlDaily,1,1,68,3.2,5560,Building a Traditional Outdoor Kitchen & Red Tile Stove | by @FarmGirlDaily,2026-08-11
DrewBuildsStuff,https://www.youtube.com/@DrewBuildsStuff,1,1,66,4.3,1950000,Turning a Japanese Mini Truck into a 400lb Tiny Home | by@DrewBuildsStuff,2026-07-10
life.uncontained,https://www.youtube.com/@life.uncontained,1,1,64,1.3,1540000,Pria ini membangun rumah dari kontainer dan di bantu oleh istrinya By @life.uncontained,2024-11-13
tieulinhrepair,https://www.youtube.com/@tieulinhrepair,1,1,64,1.1,22100,A girl brings an old car back to life! | @tieulinhrepair,2025-09-11
DeRusterGarage,https://www.youtube.com/@DeRusterGarage,1,1,56,1.0,266000,From Rust to Glory! 🔧✨ | Restoring the Classic BMW E28 @DeRusterGarage,2025-10-30
nnkhmisc,https://www.youtube.com/@nnkhmisc,1,1,53,1.0,37800,Man Restores an Abandoned Old Boat Into Like-New Condition | Start to Finish by @nnkhmisc,2026-05-29
SimonFordman,https://www.youtube.com/@SimonFordman,1,1,51,4.6,541000,50 Years of Rust: Reviving a Fire-Damaged 1971 Chevelle | by @SimonFordman,2026-07-26
Girl,https://www.youtube.com/@Girl,1,1,51,0.5,162,Restoring a Forgotten Machine: The Bus Revival Project | Created by @Girl Mechanical,2026-04-03
gesithasgewissa,https://www.youtube.com/@gesithasgewissa,1,1,49,1.0,126000,Zero Modern Tools: Building a Medieval Wattle & Daub Roundhouse | by @gesithasgewissa,2026-07-31
KENAN,https://www.youtube.com/@KENAN,1,1,49,0.1,113,From Scrap Bus to Dream House – A Free Man’s Journey | Start to Finish by @KENAN ÇINAR,2025-10-18
AutoFinesseDetailing,https://www.youtube.com/@AutoFinesseDetailing,1,1,47,0.8,250000,Dream Car BMW M3 E36 Classic 🔥⚔️ | @AutoFinesseDetailing,2025-10-31
YachtCityLife,https://www.youtube.com/@YachtCityLife,1,1,43,1.3,26400,Abandoned Boat Becomes a $3 Million Luxury Yacht! | From Start to Finish by @YachtCityLife,2026-06-14
Polissya,https://www.youtube.com/@Polissya,1,1,43,0.4,,A Man Built a Secret Shelter Under a Giant Birch Root – The Result Is Amazing @Polissya Bushcraftf,2026-07-04
Mechanicalskils,https://www.youtube.com/@Mechanicalskils,1,1,43,0.8,371000,Rubber Recycling in India 🔥 Hard Work with Human Efforts Only! | @Mechanicalskils,2025-09-07
CantContainUs,https://www.youtube.com/@CantContainUs,1,1,41,0.8,108000,Pria Ini Membangun Rumah dari Kontainer Tanpa Pengalaman By @CantContainUs,2024-11-20
emilyaisling,https://www.youtube.com/@emilyaisling,1,1,41,0.7,74100,A Girl Builds Her Dream Cabin in the Forest! 🌲🔥 | @emilyaisling,2025-07-25
European_hometeading,https://www.youtube.com/@European_hometeading,1,1,40,0.1,,Renovating a house over 70 years old into a wonderful home.| @European_hometeading,2026-07-17
Ruslan,https://www.youtube.com/@Ruslan,1,1,40,0.4,46,How to Build Your Dream Underground House in 1.5 Years – Step by Step | by @Ruslan in the Woods,2026-04-09
ZoomInProcess,https://www.youtube.com/@ZoomInProcess,1,1,36,0.1,65700,Building a Stunning Wooden House from Scratch | Off-Grid Full Build .@ZoomInProcess​,2026-03-16
bywoodman,https://www.youtube.com/@bywoodman,1,1,35,2.2,2230,A 900-day journey to build a fully equipped wooden house for a large family. by @bywoodman,2026-06-15
ConstructiiInDetaliu,https://www.youtube.com/@ConstructiiInDetaliu,1,1,34,1.0,44500,Building a Modern Dream House from Scratch in Just 60 Days |  by @ConstructiiInDetaliu,2026-07-15
TheRestorer,https://www.youtube.com/@TheRestorer,1,1,33,0.6,363000,Cleaning Old Knives in an Incredible Way! 🔪 | @TheRestorer,2025-07-21
Clean,https://www.youtube.com/@Clean,1,1,33,0.3,,Two Brothers Transformed an Overgrown Abandoned Villa | By @Clean The Old House,2026-04-16
alexbushcraftmy,https://www.youtube.com/@alexbushcraftmy,1,1,30,1.0,,Man Digs and Transforms a Mountain into A SECRETE BUNKER By ‪@alexbushcraftmy,2024-10-16
sethcraftshop,https://www.youtube.com/@sethcraftshop,1,1,30,0.9,27300,This Man Recycled Old Tires Into a Stunning Off Grid Wooden House All by Himself! @sethcraftshop,2026-04-09
modustrial,https://www.youtube.com/@modustrial,1,1,29,0.5,996000,Man Builds Total Concrete DIY 2026 | Start to Finish by @modustrial,2026-03-23
Çelik_Ev_İskender_Usta,https://www.youtube.com/@Çelik_Ev_İskender_Usta,1,1,29,0.9,20000,He Constructs a Stunning Steel House From Zero! | From Start to Finish by @Çelik_Ev_İskender_Usta,2026-05-06
Tran-Chien,https://www.youtube.com/@Tran-Chien,1,1,29,1.1,1490000,Homemade Mini Hydroelectric Power Plant@Tran-Chien,2026-02-09
BuiltintheUSA,https://www.youtube.com/@BuiltintheUSA,1,1,28,0.5,17500,Inside Toyota’s Factory Building the World’s Most Powerful and Luxurious Cars 🚗🔥 | @BuiltintheUSA,2025-11-05
TanSoLoSurvival,https://www.youtube.com/@TanSoLoSurvival,1,1,27,2.2,43300,Solo Survival: Building a Rainproof Floating Bamboo Shelter | by @TanSoLoSurvival,2026-07-30
Tinspaces,https://www.youtube.com/@Tinspaces,1,1,27,0.8,4180,Man Builds a Luxury Hotel With Terrace From Two Containers! | From Start to Finish by @Tinspaces,2026-05-20
wtcreative,https://www.youtube.com/@wtcreative,1,1,24,0.8,58400,Scrap Car From a Stream Turned Into an Electric Go-Kart! | From Start to Finish by @wtcreative,2026-05-19
theminiarchitect,https://www.youtube.com/@theminiarchitect,1,1,23,1.1,122000,Man Builds Luxury Mansion with Mini Bricks - Start to Finish by @theminiarchitect￼,2025-02-28
AmbitionStrikes1.On.T.elegram,https://www.youtube.com/@AmbitionStrikes1.On.T.elegram,1,1,21,1.4,0,Turning a Cold Steel Box Into a Custom Floating Home | by @AmbitionStrikes1.On.T.elegram,2026-07-14
ATHOSOutdoorProspector,https://www.youtube.com/@ATHOSOutdoorProspector,1,1,20,0.5,1000000,Hidden Forest House | Bushcraft Survival Shelter|By@ATHOSOutdoorProspector,2026-04-05
QuantamTech,https://www.youtube.com/@QuantamTech,1,3,20,0.9,24,Two Brothers Build Amazing Log Cabin Off Grid From Scratch - by @QuantamTech,2025-03-23
Triệu_Phong_tv,https://www.youtube.com/@Triệu_Phong_tv,1,1,19,0.4,20600,Young Man Rebuilds A Completely New Bamboo House | From Start To Finish by@Triệu_Phong_tv ,2025-11-15
Ferincishin,https://www.youtube.com/@Ferincishin,1,1,19,1.0,,Epic CABIN Build Deep in the Remote FOREST | From Start to Finish by @Ferincishin​,2025-04-20
BordeauxLife,https://www.youtube.com/@BordeauxLife,1,1,18,0.4,183000,Keluarga Beranggota 4 Orang Membangun Kolam Renang @BordeauxLife,2024-11-25
BUSHCRAFT72H,https://www.youtube.com/@BUSHCRAFT72H,1,1,18,0.6,4210,Man Builds a Secret Shelter in a Ravine No Animal Can Reach! | From Start to Finish by @BUSHCRAFT72H,2026-05-09
restorationUphone,https://www.youtube.com/@restorationUphone,1,1,18,1.6,754000,Restoring a Rusted Mercedes S600 from a Bare Frame | by @restorationUphone,2026-08-04
Camtrairuwnggia,https://www.youtube.com/@Camtrairuwnggia,1,1,17,0.2,341,Man Builds Bamboo Bushcraft in the Forest | Start to Finish by @Camtrairuwnggia,2026-04-28
PetaVillage,https://www.youtube.com/@PetaVillage,1,1,15,1.0,,Building a Sturdy Stone Shelter | Bushcraft Warm Shelter | Start to Finsh By @PetaVillage,2024-12-07
jmuller86,https://www.youtube.com/@jmuller86,1,1,15,1.0,211000,Can One Man Finish an A-Frame Cabin Before Winter | by @jmuller86,2026-07-22
AsbjornOlsenBerg,https://www.youtube.com/@AsbjornOlsenBerg,1,1,15,1.0,,The Ultimate ASMR Dugout: Building My Best Hideout Yet in the Wild Forest | By @AsbjornOlsenBerg,2024-12-18
AYACAMPING,https://www.youtube.com/@AYACAMPING,1,1,14,1.2,478000,Building a Warm Dual-Tent Shelter in Heavy Rain | by @AYACAMPING,2026-07-05
Rusty,https://www.youtube.com/@Rusty,1,1,14,0.9,156000,From Rust to Glory: Restoring a Vintage Machine Gun | by @Rusty Restore,2024-11-18
TAOutdoors,https://www.youtube.com/@TAOutdoors,1,1,13,1.9,2490000,Building a Rustic Medieval Shelter  10 Day Bushcraft Cabin @TAOutdoors,2025-02-13
ArtSport,https://www.youtube.com/@ArtSport,1,1,13,0.9,5380,Building a Stunning A-Frame House on a Riverside Beach | Start To Flish By @ArtSport,2024-12-16
alaskacabinadventures,https://www.youtube.com/@alaskacabinadventures,1,1,12,1.3,435000,Three Years Alone: Building and Living in a Remote Wilderness Cabin | by @alaskacabinadventures,2026-06-17
UnderwoodHomes,https://www.youtube.com/@UnderwoodHomes,1,1,11,0.3,5350,Man Builds a Luxury Villa in the Wilderness in 18 Months! | From Start to Finish by @UnderwoodHomes,2026-05-04
GordeevaHike,https://www.youtube.com/@GordeevaHike,1,1,11,1.6,121000,Solo Woman Builds a Survival Hut in the Wilderness @GordeevaHike,2025-02-15
TheMaineWoods,https://www.youtube.com/@TheMaineWoods,1,1,11,1.5,65700,Saving a Rotting Off-Grid Cabin from Collapsing | by @TheMaineWoods,2026-07-26
FarisandLisa,https://www.youtube.com/@FarisandLisa,1,1,11,0.8,47200,Couple Transforms Land Into Modern Barn House | @FarisandLisa,2025-12-11
Bushradical,https://www.youtube.com/@Bushradical,1,1,9,0.6,1190000,Building an Off-Grid Cabin in the Wild Woods | Start To Flish By @Bushradical,2024-12-14
Life-in-Wild1,https://www.youtube.com/@Life-in-Wild1,1,1,9,0.6,602000,Surviving and Building a Secret Cabin in the Woods | by @Life-in-Wild1,2026-06-17
apaodailylife,https://www.youtube.com/@apaodailylife,1,1,9,0.9,7760,From Empty Forest to Fire-Lit Stone Cabin by Hand | by @apaodailylife,2026-06-20
CampfireStories-d3t,https://www.youtube.com/@CampfireStories-d3t,1,1,8,0.2,,Man Builds Secret Shelter Carved Into the Hillside | Start to Finish by @CampfireStories-d3t,2025-11-28
yangsurvival,https://www.youtube.com/@yangsurvival,1,1,7,1.4,344000,A Young Woman Builds a Stunning Bamboo House | Start to Finish by @yangsurvival,2025-08-25
RedRustRestoration,https://www.youtube.com/@RedRustRestoration,1,1,6,0.9,26800,Reviving Classic Kerosene Stoves – From Rust to Radiance @RedRustRestoration,2025-02-19
lambinhTuoitre,https://www.youtube.com/@lambinhTuoitre,1,1,6,0.4,60000,1000-Year Tree Hollowed! Handmade Invisible Shelter | by @lambinhTuoitre,2026-04-24
Hadioutdooradventures,https://www.youtube.com/@Hadioutdooradventures,1,1,4,0.3,1770,Facing Nature's Fury: Building a Stone Wall to Brave the Wild Alone | By @Hadioutdooradventures,2024-12-11
amazingthingtechnology1595,https://www.youtube.com/@amazingthingtechnology1595,1,1,4,0.8,376000,INSANE Aluminum Recycling — Watch Scrap Metal Turn Into Massive Pots!@amazingthingtechnology1595,2025-10-13
ibuilding7,https://www.youtube.com/@ibuilding7,1,1,3,0.2,10500,"How to build a traditional, inexpensive wooden house from start to finish by @ibuilding7",2026-06-18
MattJordanWoodturning,https://www.youtube.com/@MattJordanWoodturning,1,1,2,0.3,1280000,The Secret Art of Woodturning – Transforming Raw Wood into Masterpieces @MattJordanWoodturning,2025-02-26
MOUNTAINLIFESTYLE,https://www.youtube.com/@MOUNTAINLIFESTYLE,1,1,0,0.0,967,30 Days Building a Stunning Wooden House Under a Giant Tree | by @MOUNTAINLIFESTYLE,2026-06-24
thanhtrieutv6231,https://www.youtube.com/@thanhtrieutv6231,1,1,0,0.0,876000,3 Years Alone: Building an Off-Grid Jungle Cabin & Hydropower | by @thanhtrieutv6231,2026-07-22
AHeartLikeDavids,https://www.youtube.com/@AHeartLikeDavids,1,1,0,0.0,1590,From Deep Snow to a Permanent Stone Hearth | by @AHeartLikeDavids,2026-07-30
StudPack,https://www.youtube.com/@StudPack,1,1,0,0.0,801000,Transforming a Muddy Lot into a High-End Home | by @StudPack,2026-08-07
Primitivesurvivalcraft,https://www.youtube.com/@Primitivesurvivalcraft,1,1,0,0.0,17600,Carving a Permanent Cliff House From Solid Red Clay | by @Primitivesurvivalcraft,2026-08-04
